fighter_name,nickname,birth_date,age,death_date,location,country,height,weight,association,weight_class,wins,wins_ko,wins_submission,wins_decision,wins_other,lossess,losses_ko,losses_submission,losses_decision,losses_other,height(cm),weight(kg),win_percentage,bmi,submission_ratio,ko_ratio,decision_ratio
Alex Macedo,,,,,Texas,United States,0.0,125,None,Flyweight,0,0,0,0,0,0,0,0,0,0,0.0,56.699,0.0,inf,,,
Mike Malott,Proper,1991-11-07,29.0,,"Halifax, Nova Scotia",Canada,6.1,170,Team Alpha Male,Welterweight,6,3,3,0,0,1,1,0,0,0,185.928,77.11064,85.71,22.31,0.5,0.5,0.0
Chris Padilla,Taco,1995-09-14,25.0,,"Gardena, California",United States,5.9,155,Fight Science,Lightweight,9,4,3,2,0,4,1,2,1,0,179.83200000000002,70.30676,69.23,21.74,0.33,0.44,0.22
Kron Gracie,,1988-07-11,33.0,,"Rio De Janeiro, Rio De Janeiro",Brazil,5.9,145,Kron Gracie Jiu-Jitsu,Featherweight,5,0,5,0,0,1,0,0,1,0,179.83200000000002,65.77083999999999,83.33,20.34,1.0,0.0,0.0
Said Nurmagomedov,,1992-04-05,29.0,,"Makhachkala, Dagestan",Russia,5.8,135,Akhmat Fight Team,Bantamweight,14,4,3,7,0,2,0,0,2,0,176.784,61.23492,87.5,19.59,0.21,0.29,0.5
Elipitua Siregar,The Magician,,,,,Indonesia,0.0,125,Bali Mma,Flyweight,4,1,3,0,0,1,0,1,0,0,0.0,56.699,80.0,inf,0.75,0.25,0.0
Scott Futrell,The General,1991-05-22,30.0,,"St. Louis, Missouri",United States,6.4,170,St. Charles Mma,Welterweight,11,6,2,3,0,10,2,6,2,0,195.072,77.11064,52.38,20.26,0.18,0.55,0.27
Luke Trainer,The Gent,1996-02-27,25.0,,,England,6.6,205,Titan Fighter,Light Heavyweight,4,2,2,0,0,0,0,0,0,0,201.16799999999998,92.98636,100.0,22.98,0.5,0.5,0.0
Trevor Gudde,Scarecrow,,,,Massachusetts,United States,6.7,170,Florian Martial Arts Center,Welterweight,2,1,1,0,0,2,1,1,0,0,204.216,77.11064,50.0,18.49,0.5,0.5,0.0
Matthew Lozano,Smg,1988-10-29,32.0,,"Red Lion, Pennsylvania",United States,5.7,135,Gracie 717,Bantamweight,8,1,4,3,0,6,3,1,2,0,173.73600000000002,61.23492,57.14,20.29,0.5,0.12,0.38
Frans Mlambo,The Zulu Irishman / The Black Mamba,1991-05-22,30.0,,Dublin,Ireland,5.9,134,Sbg Ireland,Bantamweight,10,4,4,2,0,5,2,1,2,0,179.83200000000002,60.781328,66.67,18.79,0.4,0.4,0.2
Mike Massenzio,,1982-11-01,38.0,,"Paterson, New Jersey",United States,6.2,185,Team Bombsquad,Middleweight,13,2,6,5,0,9,3,5,1,0,188.976,83.91452,59.09,23.5,0.46,0.15,0.38
Sean Gannon,The Cannon,,,,"Boston, Massachusetts",United States,6.3,265,None,Heavyweight,2,2,0,0,0,1,1,0,0,0,192.024,120.20188,66.67,32.6,0.0,1.0,0.0
Benji Gomez,The Brawler,1988-12-13,32.0,,"Oxnard, California",United States,5.6,125,Independent,Flyweight,9,2,0,7,0,13,2,5,6,0,170.688,56.699,40.91,19.46,0.0,0.22,0.78
Royce Alger,,1965-03-06,56.0,,"Iowa City, Iowa",United States,5.1,205,Hammer House,Light Heavyweight,3,2,1,0,0,2,1,1,0,0,155.44799999999998,92.98636,60.0,38.48,0.33,0.67,0.0
Russell Mizuguchi,Da Muscle,,,,"Hilo, Hawaii",United States,0.0,125,Boss Mma,Flyweight,5,0,1,4,0,0,0,0,0,0,0.0,56.699,100.0,inf,0.2,0.0,0.8
Nick Sperling,Lil Ninja,,,,"Grass Valley, California",United States,5.6,125,Powerhouse Mma,Flyweight,3,2,1,0,0,4,2,2,0,0,170.688,56.699,42.86,19.46,0.33,0.67,0.0
Hunter Azure,,1992-03-02,29.0,,"Poplar, Montana",United States,5.8,135,Fight Ready,Bantamweight,9,3,1,5,0,2,1,0,1,0,176.784,61.23492,81.82,19.59,0.11,0.33,0.56
Murad Ramazanov,,,,,,Russia,0.0,155,None,Lightweight,10,4,3,3,0,0,0,0,0,0,0.0,70.30676,100.0,inf,0.3,0.4,0.3
Matt Denning,Ken Doll,,,,"Auburn, Maine",United States,5.8,145,Central Maine Bjj,Featherweight,5,0,5,0,0,10,6,4,0,0,176.784,65.77083999999999,33.33,21.04,1.0,0.0,0.0
Mara Romero Borella,Maravilla,1986-06-03,35.0,,"Ponte Dell'Olio, Piacenza",Italy,5.6,125,American Top Team,Flyweight,12,3,4,5,0,9,4,3,2,0,170.688,56.699,57.14,19.46,0.33,0.25,0.42
Pengshuai Liu,,1996-07-19,25.0,,Beijing,China,5.5,135,Fighting Bros Club,Bantamweight,6,3,3,0,0,5,2,1,2,0,167.64000000000001,61.23492,54.55,21.79,0.5,0.5,0.0
Sevak Magakian,Silverback,1985-07-02,36.0,,"Glendale, California",United States,6.0,154,Team Hayastan,Lightweight,13,1,9,3,0,6,1,4,1,0,182.88,69.853168,68.42,20.89,0.69,0.08,0.23
Jamal Pogues,The Stormtrooper,1995-12-01,25.0,,"Victorville, California",United States,6.2,205,Joe Stevenson'S Cobra Kai,Light Heavyweight,8,4,1,3,0,3,1,2,0,0,188.976,92.98636,72.73,26.04,0.12,0.5,0.38
Jeff Hougland,Hellbound,1978-08-02,43.0,,"Enumclaw, Washington",United States,5.9,135,Combat Sport And Fitness,Bantamweight,10,1,7,2,0,6,1,3,2,0,179.83200000000002,61.23492,62.5,18.93,0.7,0.1,0.2
Nate Yoshimura,,,,,Hawaii,United States,5.3,125,None,Flyweight,0,0,0,0,0,1,1,0,0,0,161.54399999999998,56.699,0.0,21.73,,,
Eryk Anders,Ya Boi,1987-04-21,34.0,,"Birmingham, Alabama",United States,6.1,205,Spartan Fitness,Light Heavyweight,14,8,1,5,0,5,1,0,4,0,185.928,92.98636,73.68,26.9,0.07,0.57,0.36
Cain Velasquez,,1982-07-28,39.0,,"Salinas, California",United States,6.1,241,American Kickboxing Academy,Heavyweight,14,12,0,2,0,3,2,1,0,0,185.928,109.31567199999999,82.35,31.62,0.0,0.86,0.14
Goiti Yamauchi,,1993-01-05,28.0,,"Anjo, Aichi",Japan,5.1,155,Yamauchi Team,Lightweight,26,2,20,4,0,5,0,0,5,0,155.44799999999998,70.30676,83.87,29.1,0.77,0.08,0.15
Mike Thomas Brown,,1975-09-08,45.0,,"Portland, Maine",United States,5.6,145,American Top Team,Featherweight,26,5,13,8,0,9,3,4,2,0,170.688,65.77083999999999,74.29,22.57,0.5,0.19,0.31
Takashi Sato,Ten,1990-06-09,31.0,,Tokyo,Japan,5.1,170,Sanford Mma,Welterweight,16,11,2,3,0,4,1,3,0,0,155.44799999999998,77.11064,80.0,31.91,0.12,0.69,0.19
Alex Polizzi,Eazy,1991-12-22,29.0,,"Madison, Wisconsin",United States,6.0,205,Chosen Few Gym,Light Heavyweight,8,3,4,1,0,1,0,0,1,0,182.88,92.98636,88.89,27.8,0.5,0.38,0.12
Igor Pokrajac,The Duke,1979-01-02,42.0,,Zagreb,Croatia,6.0,205,American Top Team,Light Heavyweight,29,16,9,4,0,15,8,2,5,0,182.88,92.98636,65.91,27.8,0.31,0.55,0.14
Rob Lisita,Warrior Of God,1983-02-27,38.0,,"Campbelltown, New South Wales",Australia,5.7,145,Australian Top Team,Featherweight,14,4,7,3,0,9,1,4,4,0,173.73600000000002,65.77083999999999,60.87,21.79,0.5,0.29,0.21
Nick Nolte,The Kansas City Head Case,1981-03-04,40.0,,"Kansas City, Missouri",United States,6.0,175,K2L Grindhouse,Middleweight,5,1,3,1,0,4,0,3,1,0,182.88,79.3786,55.56,23.73,0.6,0.2,0.2
Ryan Parker,The Predator,1992-12-10,28.0,,"Norfolk, Virginia",United States,6.3,185,Team Xcwt Mma,Middleweight,2,1,1,0,0,3,0,3,0,0,192.024,83.91452,40.0,22.76,0.5,0.5,0.0
Umer Kayani,,,,,,England,0.0,176,None,Middleweight,5,0,5,0,0,4,2,2,0,0,0.0,79.83219199999999,55.56,inf,1.0,0.0,0.0
Jonathan Mackles,The Mack Attack,1985-08-08,36.0,,"Slidell, Louisiana",United States,5.7,135,Gold Dragon Mma,Bantamweight,15,3,7,4,1,5,2,0,2,1,173.73600000000002,61.23492,75.0,20.29,0.47,0.2,0.27
Troy Gerhart,,1985-12-12,35.0,,"Venice, Florida",United States,5.8,155,Champions Mma Bradenton,Lightweight,8,7,0,1,0,4,1,1,2,0,176.784,70.30676,66.67,22.5,0.0,0.88,0.12
Joe Roye,Sodamnoverland,1992-05-17,29.0,,"Overland, Missouri",United States,5.1,150,Performance Fitness Mma,Lightweight,1,0,1,0,0,6,0,6,0,0,155.44799999999998,68.0388,14.29,28.16,1.0,0.0,0.0
Dave Menne,The Warrior,1974-07-29,47.0,,"Minneapolis, Minnesota",United States,5.1,185,Menne Combat Academy,Middleweight,45,6,19,20,0,17,7,1,9,0,155.44799999999998,83.91452,72.58,34.73,0.42,0.13,0.44
Tyler Claussen,,1992-09-30,28.0,,Illinois,United States,5.9,170,None,Welterweight,2,1,1,0,0,3,2,1,0,0,179.83200000000002,77.11064,40.0,23.84,0.5,0.5,0.0
John Mclaughlin,The Convict,,,,"Uncasville, Connecticut",United States,5.6,135,Kipp'S Basement,Bantamweight,4,1,2,1,0,1,1,0,0,0,170.688,61.23492,80.0,21.02,0.5,0.25,0.25
Marcos Escobar,,1976-03-19,45.0,,"Rio De Janeiro, Rio De Janeiro",Brazil,5.8,155,Leverage Combat Academy,Lightweight,2,0,2,0,0,0,0,0,0,0,176.784,70.30676,100.0,22.5,1.0,0.0,0.0
Stephan Bonnar,The American Psycho,1977-04-04,44.0,,"Hammond, Indiana",United States,6.3,205,One Kick'S Gym,Light Heavyweight,15,3,7,5,0,9,3,0,6,0,192.024,92.98636,62.5,25.22,0.47,0.2,0.33
Gustavo Balart,El Gladiador,1987-06-23,34.0,,Santiago,Cuba,4.11,124,American Top Team,Flyweight,9,1,0,8,0,4,2,0,2,0,125.27280000000002,56.245408,69.23,35.84,0.0,0.11,0.89
Sasa Perkic,The Serbian Warrior,,,,"Milwaukee, Wisconsin",United States,0.0,154,None,Lightweight,3,1,1,1,0,1,0,0,1,0,0.0,69.853168,75.0,inf,0.33,0.33,0.33
Josh Burns,The Hammer,1978-05-15,43.0,,"Detroit, Michigan",United States,6.1,244,Michigan Top Team,Heavyweight,8,4,2,2,0,10,5,4,1,0,185.928,110.676448,44.44,32.02,0.25,0.5,0.25
Mohammad Yahya,,,,,,United Arab Emirates,0.0,145,Jamil'S Reality Combat System,Featherweight,9,6,1,2,0,3,1,2,0,0,0.0,65.77083999999999,75.0,inf,0.11,0.67,0.22
Natalie Gonzales Hills,The Kilapino,1988-02-17,33.0,,"Cavite City, Cavite",Philippines,5.2,105,Lange'S Mma,Atomweight,1,0,1,0,0,5,2,2,1,0,158.496,47.627159999999996,16.67,18.96,1.0,0.0,0.0
Alvaro Herrera,Chango,1990-05-14,31.0,,"Guadalajara, Jalisco",Mexico,6.0,155,Uag Mma,Lightweight,9,5,3,0,1,8,4,3,0,1,182.88,70.30676,52.94,21.02,0.33,0.56,0.0
Jie Miao,Supermom,,,,Shanghai,China,0.0,125,None,Flyweight,10,2,7,1,0,4,1,0,3,0,0.0,56.699,71.43,inf,0.7,0.2,0.1
Kazushi Sakuraba,The Gracie Hunter,1969-07-14,52.0,,"Katagami, Akita",Japan,6.0,167,Laughter7,Welterweight,26,4,19,3,0,17,10,3,4,0,182.88,75.749864,60.47,22.65,0.73,0.15,0.12
Nathan Greyson,Dread,,,,"London, Greater London",England,5.8,135,Team Titan,Bantamweight,6,6,0,0,0,4,1,2,1,0,176.784,61.23492,60.0,19.59,0.0,1.0,0.0
Dragan Tesanovic,Gagi,1985-09-02,35.0,,Belgrade,Serbia,6.2,185,Mma Academy,Middleweight,8,6,0,2,0,2,0,1,1,0,188.976,83.91452,80.0,23.5,0.0,0.75,0.25
Haiat Farag Youssef,,1982-02-18,39.0,,,Egypt,0.0,145,Egyptian Top Team,Featherweight,1,0,1,0,0,1,0,1,0,0,0.0,65.77083999999999,50.0,inf,1.0,0.0,0.0
Sam Hoger,Alaskan Assassin,1980-06-28,41.0,,"Eagle River, Alaska",United States,6.2,205,Miletich Martial Arts,Light Heavyweight,10,3,6,1,0,4,0,1,3,0,188.976,92.98636,71.43,26.04,0.6,0.3,0.1
Terry Etim,,1986-01-11,35.0,,Liverpool,England,6.1,155,Team Kaobon,Lightweight,16,2,12,2,0,5,1,1,3,0,185.928,70.30676,76.19,20.34,0.75,0.12,0.12
Satoshi Honma,,1968-05-19,53.0,,Niigata,Japan,6.0,204,None,Light Heavyweight,4,1,3,0,0,6,2,2,2,0,182.88,92.532768,40.0,27.67,0.75,0.25,0.0
Itzik Rubinov,,,,,,Israel,0.0,145,None,Featherweight,1,0,0,1,0,0,0,0,0,0,0.0,65.77083999999999,100.0,inf,0.0,0.0,1.0
Yodsanan Sityodtong,Little Tyson,1974-08-17,46.0,,Suphan Buri,Thailand,5.6,135,Evolve Mma,Bantamweight,4,4,0,0,0,1,0,1,0,0,170.688,61.23492,80.0,21.02,0.0,1.0,0.0
Paul Lopes,,,,,"Honolulu, Hawaii",United States,5.1,155,808 Top Team,Lightweight,1,1,0,0,0,5,3,2,0,0,155.44799999999998,70.30676,16.67,29.1,0.0,1.0,0.0
Paul Georgieff,,1982-09-22,38.0,,"St. Paul, Minnesota",United States,0.0,155,None,Lightweight,6,0,5,0,1,3,0,2,0,1,0.0,70.30676,66.67,inf,0.83,0.0,0.0
Doug Gordon,Flash,,,,"New Castle, Delaware",United States,5.8,170,Elite Bjj,Welterweight,11,6,3,2,0,11,2,3,6,0,176.784,77.11064,50.0,24.67,0.27,0.55,0.18
Erick Montano,Perry,1985-11-19,35.0,,Mexico City,Mexico,6.0,170,Bonebreakers Team,Welterweight,8,2,4,2,0,6,1,4,1,0,182.88,77.11064,57.14,23.06,0.5,0.25,0.25
Raulian Paiva,,1995-10-17,25.0,,"Santana, Amapa",Brazil,5.8,135,Team Alpha Male,Bantamweight,21,4,3,14,0,3,1,1,1,0,176.784,61.23492,87.5,19.59,0.14,0.19,0.67
Vladimir Filipovic,Fila,1990-09-14,30.0,,"Odzaci, Vojvodina",Serbia,6.1,185,Family Fight Team,Middleweight,10,3,4,3,0,3,1,1,1,0,185.928,83.91452,76.92,24.27,0.4,0.3,0.3
Pete Williams,El Duro,1975-07-10,46.0,,"San Lorenzo, California",Usa,6.3,225,Lion'S Den,Heavyweight,12,6,4,2,0,6,2,1,3,0,192.024,102.0582,66.67,27.68,0.33,0.5,0.17
Sabriye Sengul,,1988-11-12,32.0,,,Turkey,5.7,125,None,Flyweight,1,0,0,1,0,1,0,1,0,0,173.73600000000002,56.699,50.0,18.78,0.0,0.0,1.0
Irwin Rivera,The Beast,1989-02-14,32.0,,"New Windsor, New York",United States,5.6,135,Sanford Mma,Bantamweight,10,5,1,4,0,6,2,0,4,0,170.688,61.23492,62.5,21.02,0.1,0.5,0.4
John Castaneda,Sexi Mexi,1991-12-18,29.0,,"Mankato, Minnesota",United States,5.7,135,The Academy,Bantamweight,18,8,5,5,0,5,1,0,4,0,173.73600000000002,61.23492,78.26,20.29,0.28,0.44,0.28
Vagner Rocha,Ceara,1982-06-06,39.0,,Rio De Janeiro,Brazil,5.11,155,Team Vrma,Lightweight,14,3,8,3,0,4,1,1,2,0,155.7528,70.30676,77.78,28.98,0.57,0.21,0.21
B.J. Ferguson,The Boogeyman,1981-05-28,40.0,,"Louisville, Kentucky",United States,5.8,140,All American Mma,Featherweight,11,3,5,3,0,6,2,1,3,0,176.784,63.50288,64.71,20.32,0.45,0.27,0.27
Andy Main,,1989-03-24,32.0,,"Boonton, New Jersey",United States,5.11,145,Pure Mma,Featherweight,12,2,7,3,0,4,1,0,3,0,155.7528,65.77083999999999,75.0,27.11,0.58,0.17,0.25
Dalton Rosta,Hercules,1995-11-09,25.0,,"New Castle, Pennsylvania",United States,6.0,205,The Mat Factory,Light Heavyweight,5,3,0,2,0,0,0,0,0,0,182.88,92.98636,100.0,27.8,0.0,0.6,0.4
Saeed Hosseini,,,,,,Iran,0.0,265,None,Heavyweight,0,0,0,0,0,1,1,0,0,0,0.0,120.20188,0.0,inf,,,
Asael Adjoudj,The Sultan,,,,,France,6.0,145,Sbg Ireland,Featherweight,1,1,0,0,0,1,0,0,1,0,182.88,65.77083999999999,50.0,19.67,0.0,1.0,0.0
Aaron Hamilton,The Snake,1982-11-20,38.0,,"Stockton, California",United States,5.11,184,None,Middleweight,1,0,1,0,0,6,4,1,1,0,155.7528,83.460928,14.29,34.4,1.0,0.0,0.0
Tracy Cortez,,1993-12-10,27.0,,"Phoenix, Arizona",United States,5.5,125,Fight Ready,Flyweight,9,1,1,7,0,1,0,1,0,0,167.64000000000001,56.699,90.0,20.18,0.11,0.11,0.78
Tim Elliott,,1986-12-24,34.0,,"Lee'S Summit, Missouri",United States,5.7,125,Glory Mma & Fitness,Flyweight,17,3,6,8,0,11,1,5,5,0,173.73600000000002,56.699,60.71,18.78,0.35,0.18,0.47
Joe Calboutin,,,,,"Newcastle Upon Tyne, Tyne And Wear",England,0.0,155,Independent,Lightweight,1,1,0,0,0,0,0,0,0,0,0.0,70.30676,100.0,inf,0.0,1.0,0.0
Jimmy Van Horn,,,,,"Malvern, Arkansas",United States,6.1,146,Spartan Fight Club,Featherweight,8,0,8,0,0,18,8,10,0,0,185.928,66.224432,30.77,19.16,1.0,0.0,0.0
Jacob Ycaro,,1992-05-28,29.0,,"Milpitas, California",United States,5.1,145,Smash Gyms,Featherweight,1,1,0,0,0,1,0,0,1,0,155.44799999999998,65.77083999999999,50.0,27.22,0.0,1.0,0.0
Nadia Kassem,187,1995-11-15,25.0,,"Sydney, New South Wales",Australia,5.5,120,Australian Top Team,Flyweight,5,4,0,1,0,2,1,1,0,0,167.64000000000001,54.431039999999996,71.43,19.37,0.0,0.8,0.2
Ivan Menjivar,Pride Of El Salvador,1982-05-30,39.0,,La Paz,El Salvador,5.6,135,Tristar Gym,Bantamweight,25,9,10,6,0,11,1,2,8,0,170.688,61.23492,69.44,21.02,0.4,0.36,0.24
Jesse Thorton,The Army Assassin,1975-02-18,46.0,,"Killeen, Texas",United States,5.5,170,Fight Stop,Welterweight,5,1,1,3,0,11,3,5,3,0,167.64000000000001,77.11064,31.25,27.44,0.2,0.2,0.6
Max Griffin,Pain,1985-11-29,35.0,,"Sacramento, California",United States,5.11,170,Marinoble'S Martial Arts,Welterweight,18,9,2,7,0,8,1,0,7,0,155.7528,77.11064,69.23,31.79,0.11,0.5,0.39
Gan Mcgee,The Giant,1976-11-20,44.0,,"San Luis Obispo, California",United States,6.1,260,S.K.S. Fight Team,Heavyweight,13,11,1,0,1,6,3,1,1,1,185.928,117.93392,68.42,34.12,0.08,0.85,0.0
Ahsan Abdullah,,1992-08-02,29.0,,"Cortland, New York",United States,5.8,138,Team Bombsquad,Featherweight,8,3,3,2,0,9,1,5,3,0,176.784,62.595696,47.06,20.03,0.38,0.38,0.25
Seung Ho Yang,Tommy,1990-04-07,31.0,,Kyunggi,South Korea,5.1,160,Phuket Top Team,Welterweight,7,1,3,3,0,1,0,0,1,0,155.44799999999998,72.57472,87.5,30.03,0.43,0.14,0.43
Alfonso Alcarez,Alfie,1970-06-10,51.0,,"Las Vegas, Nevada",United States,5.3,135,Nickwan Kick Gym,Bantamweight,1,1,0,0,0,3,0,3,0,0,161.54399999999998,61.23492,25.0,23.46,0.0,1.0,0.0
Binh Son Le,,1988-10-26,32.0,,Partille,Sweden,5.5,125,Bulldog Training Center,Flyweight,5,0,0,5,0,4,0,0,4,0,167.64000000000001,56.699,55.56,20.18,0.0,0.0,1.0
Evan Gubera,,,,,"Fremont, California",United States,0.0,185,American Kickboxing Academy,Middleweight,0,0,0,0,0,2,0,0,2,0,0.0,83.91452,0.0,inf,,,
Daniel Crawford,,,,,"Croydon, Greater London",England,5.9,145,New Wave Academy Mma,Featherweight,10,6,1,3,0,3,1,1,1,0,179.83200000000002,65.77083999999999,76.92,20.34,0.1,0.6,0.3
Mike Jasper,,1983-08-04,38.0,,"Camarillo, California",United States,6.0,190,Elite Mma,Light Heavyweight,13,9,1,3,0,6,1,1,4,0,182.88,86.18248,68.42,25.77,0.08,0.69,0.23
Phil Brooks,Cm Punk,1978-10-26,42.0,,"Chicago, Illinois",United States,6.2,170,Roufusport,Welterweight,0,0,0,0,0,1,0,1,0,0,188.976,77.11064,0.0,21.59,,,
Dusko Todorovic,Thunder,1994-05-19,27.0,,Belgrade,Serbia,6.1,185,Secutor,Middleweight,10,6,3,1,0,2,1,0,1,0,185.928,83.91452,83.33,24.27,0.3,0.6,0.1
Dwight Grant,The Body Snatcher,1984-09-14,36.0,,"New York, New York",United States,6.1,170,Alliance Mma,Welterweight,11,7,0,4,0,3,1,0,2,0,185.928,77.11064,78.57,22.31,0.0,0.64,0.36
Joao Roque,,1971-07-22,50.0,,"Luanda, Luanda",Angola,5.6,145,Nova Uniao,Featherweight,7,0,5,2,0,2,0,0,2,0,170.688,65.77083999999999,77.78,22.57,0.71,0.0,0.29
Qileng Aori,Mongolian Murderer,1993-06-25,28.0,,Inner Mongolia,China,5.7,125,Team Bks,Flyweight,18,5,2,11,0,8,0,3,5,0,173.73600000000002,56.699,69.23,18.78,0.11,0.28,0.61
Jack Mclaughlin,,1961-10-01,59.0,,"Piqua, Ohio",United States,5.1,218,None,Heavyweight,1,0,0,0,1,4,1,2,0,1,155.44799999999998,98.883056,20.0,40.92,0.0,0.0,0.0
Ashlee Evans-Smith,Rebel Girl,1987-07-09,34.0,,"Lake Forest, California",United States,5.8,135,Reign Mma,Bantamweight,6,3,0,3,0,5,0,2,3,0,176.784,61.23492,54.55,19.59,0.0,0.5,0.5
Liudvik Sholinian,,,,,Kiev,Ukraine,5.1,145,Aurum,Featherweight,9,1,3,5,0,1,0,0,1,0,155.44799999999998,65.77083999999999,90.0,27.22,0.33,0.11,0.56
Mauricio Rua,Shogun,1981-11-25,39.0,,"Curitiba, Parana",Brazil,6.1,205,Universidade Da Luta,Light Heavyweight,27,21,1,5,0,12,6,3,3,0,185.928,92.98636,69.23,26.9,0.04,0.78,0.19
Chris Heatherly,Stump,1987-11-24,33.0,,"Cahokia, Illinois",United States,5.8,180,Fit Or Fight,Middleweight,9,1,4,4,0,4,2,2,0,0,176.784,81.64656,69.23,26.12,0.44,0.11,0.44
Jaroslav Jartim,Jarda,,,,,Czech Republic,0.0,155,Penta Gym Prague,Lightweight,11,6,3,2,0,10,7,2,1,0,0.0,70.30676,52.38,inf,0.27,0.55,0.18
Brett Rogers,Da Grim,1981-02-17,40.0,,"Minneapolis, Minnesota",United States,6.5,262,None,Heavyweight,17,15,0,2,0,10,3,2,5,0,198.12,118.841104,62.96,30.28,0.0,0.88,0.12
Nicholas Sergiacomi,,,,,"Waterford, Connecticut",United States,5.9,170,None,Welterweight,1,0,1,0,0,1,0,1,0,0,179.83200000000002,77.11064,50.0,23.84,1.0,0.0,0.0
Ali Motamed,,1991-01-30,30.0,,,Iran,5.6,135,Tiger Muay Thai,Bantamweight,7,2,2,3,0,5,3,0,2,0,170.688,61.23492,58.33,21.02,0.29,0.29,0.43
Danny Sykora,,,,,"Cedar Rapids, Iowa",United States,5.7,134,Hard Drive Mma,Bantamweight,7,2,5,0,0,5,0,0,5,0,173.73600000000002,60.781328,58.33,20.14,0.71,0.29,0.0
Arturo Rivas,Turtle,1981-02-04,40.0,,"Moorpark, California",United States,6.4,259,Elite Mma,Heavyweight,6,2,1,3,0,2,0,1,1,0,195.072,117.480328,75.0,30.87,0.17,0.33,0.5
Jesse Roberts,,,,,Louisiana,United States,0.0,170,None,Welterweight,2,0,0,2,0,0,0,0,0,0,0.0,77.11064,100.0,inf,0.0,0.0,1.0
Shinechagtga Zoltsetseg,,1996-09-04,24.0,,Ulaanbaatar,Mongolia,5.8,145,Zorky'S Mma,Featherweight,6,4,0,2,0,2,1,1,0,0,176.784,65.77083999999999,75.0,21.04,0.0,0.67,0.33
Alexander Volkov,Drago,1988-10-24,32.0,,Moscow,Russia,6.7,265,Strela Team,Heavyweight,33,22,3,8,0,9,2,2,5,0,204.216,120.20188,78.57,28.82,0.09,0.67,0.24
Phil Baroni,New York Bad Ass,1976-04-16,45.0,,"Long Island, New York",United States,5.9,170,American Kickboxing Academy,Welterweight,16,11,2,3,0,19,7,3,9,0,179.83200000000002,77.11064,45.71,23.84,0.12,0.69,0.19
Kerry Schall,Meat Truck,1971-08-09,50.0,,"Cincinnati, Ohio",United States,6.2,265,Meat Truck Inc.,Heavyweight,24,7,12,1,4,17,7,3,3,4,188.976,120.20188,58.54,33.66,0.5,0.29,0.04
Dave Banguigui,Kintas,,,,Baguio City,Philippines,5.6,125,Fight Corps Mma,Flyweight,8,4,2,2,0,1,0,0,1,0,170.688,56.699,88.89,19.46,0.25,0.5,0.25
Hunter Ewald,,,,,Hawaii,United States,0.0,170,None,Welterweight,1,0,1,0,0,0,0,0,0,0,0.0,77.11064,100.0,inf,1.0,0.0,0.0
Mengyu Liu,,,,,,China,0.0,145,North Dalian Mma,Featherweight,5,2,2,1,0,4,2,0,2,0,0.0,65.77083999999999,55.56,inf,0.4,0.4,0.2
Daniel Langbeen,,,,,"Eastpointe, Michigan",United States,5.9,149,None,Lightweight,5,3,0,2,0,4,1,1,2,0,179.83200000000002,67.585208,55.56,20.9,0.0,0.6,0.4
Burenzorig Batmunkh,,1985-09-25,35.0,,,Mongolia,5.9,155,Team Fighter,Lightweight,10,2,2,6,0,10,2,5,3,0,179.83200000000002,70.30676,50.0,21.74,0.2,0.2,0.6
Craig White,The Thundercat,1990-07-01,31.0,,"Exmouth, Devon",England,6.2,170,Team Lionheart,Welterweight,14,5,9,0,0,12,3,6,3,0,188.976,77.11064,53.85,21.59,0.64,0.36,0.0
Bryan Baker,The Beast,1985-10-13,35.0,,"West Covina, California",United States,6.3,170,Team Wildman Vale Tudo,Welterweight,18,8,3,7,0,5,3,1,1,0,192.024,77.11064,78.26,20.91,0.17,0.44,0.39
Da Eun Jung,,,,,,South Korea,5.7,135,Team Poma,Bantamweight,8,3,0,5,0,5,2,1,2,0,173.73600000000002,61.23492,61.54,20.29,0.0,0.38,0.62
Floyd Sword,,,,,"Farmington, New Mexico",United States,5.11,185,Team Four Corners,Middleweight,12,4,7,1,0,3,1,1,1,0,155.7528,83.91452,80.0,34.59,0.58,0.33,0.08
Luiz Jorge Dutra Jr.,Besouro,1982-05-06,39.0,,"Rio De Janeiro, Rio De Janeiro",Brazil,5.11,170,Renovacao Fight Team,Welterweight,13,5,2,6,0,6,4,1,1,0,155.7528,77.11064,68.42,31.79,0.15,0.38,0.46
Kevin Jackson,,1964-11-25,56.0,,"Phoenix, Arizona",United States,5.1,199,None,Light Heavyweight,4,1,3,0,0,2,0,2,0,0,155.44799999999998,90.264808,66.67,37.35,0.75,0.25,0.0
Muhammad Imran,The Spider,1991-12-01,29.0,,"Gujar Khan, Punjab",Pakistan,0.0,125,Pakido,Flyweight,6,0,4,2,0,4,1,1,2,0,0.0,56.699,60.0,inf,0.67,0.0,0.33
Cristiano Souza,Soldier Boy,1982-08-02,39.0,,"Boca Raton, Florida",United States,5.1,170,American Top Team,Welterweight,7,3,3,1,0,2,1,1,0,0,155.44799999999998,77.11064,77.78,31.91,0.43,0.43,0.14
Claudio Puelles,El Nino,1996-04-21,25.0,,Molina,Peru,5.11,155,Pitbull Martial Arts Center,Lightweight,10,2,5,3,0,2,1,0,1,0,155.7528,70.30676,83.33,28.98,0.5,0.2,0.3
