fighter_name,nickname,birth_date,age,death_date,location,country,height,weight,association,weight_class,wins,wins_ko,wins_submission,wins_decision,wins_other,lossess,losses_ko,losses_submission,losses_decision,losses_other,height(cm),weight(kg),win_percentage,bmi,submission_ratio,ko_ratio,decision_ratio
Daniel Gracie,,1972-06-28,49.0,,Rio De Janeiro,Brazil,6.2,205,Renzo Gracie Jiu-Jitsu,Light Heavyweight,5,0,4,1,0,4,2,0,2,0,188.976,92.98636,55.56,26.04,0.8,0.0,0.2
Mike Galitello,,,,,"Cumming, Georgia",United States,5.9,145,None,Featherweight,2,0,2,0,0,2,0,1,1,0,179.83200000000002,65.77083999999999,50.0,20.34,1.0,0.0,0.0
Liz Carmouche,Girl-Rilla,1984-02-19,37.0,,"San Diego, California",United States,5.6,125,Team Hurricane Awesome,Flyweight,16,7,3,6,0,7,0,2,5,0,170.688,56.699,69.57,19.46,0.19,0.44,0.38
Cody Durden,,1991-03-29,30.0,,"Covington, Georgia",United States,5.9,125,American Top Team Atlanta,Flyweight,11,5,5,1,0,3,0,2,1,0,179.83200000000002,56.699,78.57,17.53,0.45,0.45,0.09
Max Holloway,Blessed,1991-12-04,29.0,,"Waianae, Hawaii",United States,5.11,145,Gracie Technics,Featherweight,22,10,2,10,0,6,0,1,5,0,155.7528,65.77083999999999,78.57,27.11,0.09,0.45,0.45
Yago Bryan Farias De Morais,Codorninha,1992-06-17,29.0,,Rio De Janeiro,Brazil,5.5,115,Nova Uniao,Strawweight,3,1,0,2,0,5,1,1,3,0,167.64000000000001,52.16308,37.5,18.56,0.0,0.33,0.67
Elvis Mutapcic,The King,1986-07-19,35.0,,"Des Moines, Iowa",United States,6.0,185,Roundkick Gym,Middleweight,16,7,6,3,0,6,2,0,4,0,182.88,83.91452,72.73,25.09,0.38,0.44,0.19
Aaron Rodriguez,,1987-01-26,34.0,,"Lawton, Oklahoma",United States,5.9,185,None,Middleweight,0,0,0,0,0,1,0,0,1,0,179.83200000000002,83.91452,0.0,25.95,,,
Jerry Bohlander,,1974-11-02,46.0,,"Napa, California",United States,5.11,199,Lion'S Den,Light Heavyweight,11,0,10,1,0,4,3,0,1,0,155.7528,90.264808,73.33,37.21,0.91,0.0,0.09
Teemu Packalen,,1987-05-22,34.0,,Turku,Finland,6.1,155,Finnfighters Gym,Lightweight,8,2,6,0,0,3,2,0,1,0,185.928,70.30676,72.73,20.34,0.75,0.25,0.0
Viscardi Andrade,,1984-03-08,37.0,,"Jales, Sao Paulo",Brazil,6.0,170,Gracie Fusion,Welterweight,22,8,6,8,0,9,2,1,6,0,182.88,77.11064,70.97,23.06,0.27,0.36,0.36
Khasan Magomedsharipov,,2000-10-06,20.0,,Saratov,Russia,5.11,145,None,Featherweight,6,2,3,1,0,0,0,0,0,0,155.7528,65.77083999999999,100.0,27.11,0.5,0.33,0.17
Isaiah Chapman,The Beast,1989-11-06,,2020-04-07,"Barberton, Ohio",United States,5.7,125,Rock Hard Mma,Flyweight,9,2,3,4,0,4,1,1,2,0,173.73600000000002,56.699,69.23,18.78,0.33,0.22,0.44
Jarred Brooks,The Monkey God,1993-05-02,28.0,,"Warsaw, Indiana",United States,5.3,125,Mash Fight Team,Flyweight,16,2,6,8,0,2,1,0,1,0,161.54399999999998,56.699,88.89,21.73,0.38,0.12,0.5
Marcin Zywica,The Mauler,,,,Olsztyn,Poland,0.0,170,Arrachion Olsztyn,Welterweight,2,1,1,0,0,1,1,0,0,0,0.0,77.11064,66.67,inf,0.5,0.5,0.0
Chase Hooper,The Dream,1999-09-13,21.0,,"Enumclaw, Washington",United States,6.1,145,Combat Sport & Fitness,Featherweight,10,3,5,2,0,2,0,0,2,0,185.928,65.77083999999999,83.33,19.03,0.5,0.3,0.2
Ronaldo Souza,Jacare,1979-12-07,41.0,,"Manaus, Amazonas",Brazil,6.1,185,Fusion X-Cel,Middleweight,26,8,14,4,0,10,4,1,5,0,185.928,83.91452,72.22,24.27,0.54,0.31,0.15
Jesus Castro,Chucho,,,,"Coalinga, California",United States,5.6,135,None,Bantamweight,0,0,0,0,0,3,3,0,0,0,170.688,61.23492,0.0,21.02,,,
Jerome S. Paye,,,,,"Jakarta, Indonesia",Liberia,0.0,147,Synergy,Lightweight,2,0,2,0,0,4,2,0,2,0,0.0,66.678024,33.33,inf,1.0,0.0,0.0
Alex Munoz,,1990-02-27,31.0,,"Dallas, Texas",United States,5.9,155,Team Alpha Male,Lightweight,6,2,1,3,0,2,0,0,2,0,179.83200000000002,70.30676,75.0,21.74,0.17,0.33,0.5
